,link,num_badwords_in_text,num_badwords_in_title,num_images,num_keywords_in_text,num_keywords_in_title,price,text_fraction_caps,title,title_fraction_caps
0,https://boston.craigslist.org/nos/pho/d/kodak-instamatic-camera/6748540296.html,0,0,1,0,0,20.0,0.06481481481481481,kodak instamatic camera,0.0
1,https://boston.craigslist.org/nos/pho/d/canon-rebel-t5i-camera-bundle/6746395524.html,0,0,3,0,1,500.0,0.05909090909090909,Canon Rebel T5i camera bundle,0.125
2,https://boston.craigslist.org/gbs/pho/d/canon-efs-18-55mm-and-canon/6748530176.html,0,0,7,1,2,90.0,0.21153846153846154,Canon EFS 18-55mm and Canon EF 75-300mm II,0.375
3,https://boston.craigslist.org/gbs/pho/d/canon-speedlite-430ex/6748530093.html,0,0,7,1,1,65.0,0.1320754716981132,Canon Speedlite 430EX,0.25
4,https://boston.craigslist.org/nos/pho/d/kodak-instamatic-camera/6740860982.html,0,0,1,0,0,20.0,0.06481481481481481,kodak instamatic camera,0.0
5,https://boston.craigslist.org/nos/pho/d/childrens-video-pack/6739088764.html,0,0,0,0,0,5.0,0.13333333333333333,Childrens video pack,0.05555555555555555
6,https://boston.craigslist.org/nos/pho/d/childrens-video-pack/6739090278.html,0,0,0,0,0,5.0,0.13333333333333333,Childrens video pack,0.05555555555555555
7,https://boston.craigslist.org/gbs/pho/d/durst-f60-enlarger-darkroom/6745812969.html,0,0,6,1,0,100.0,0.06097560975609756,Durst F60 enlarger + darkroom print setup,0.0625
8,https://boston.craigslist.org/nwb/pho/d/brand-new-pacific-image-film/6743576996.html,1,1,4,0,0,75.0,0.8,BRAND NEW PACIFIC IMAGE FILM SCANNER,1.0
9,https://boston.craigslist.org/nwb/pho/d/brand-new-pacific-image-film/6743577849.html,1,1,4,0,0,75.0,0.8,BRAND NEW PACIFIC IMAGE FILM SCANNER,1.0
10,https://boston.craigslist.org/nos/pho/d/mid-century-film-projector/6740365512.html,1,1,13,1,0,90.0,0.04225352112676056,"Mid-Century Film Projector Keystone, Belmont k-161 with Case, Reel & P",0.17307692307692307
